LEMA                           | CATEGORÍA      
frust                          | desconocido    
frutt                          | desconocido    
fudd                           | desconocido    
fulmin                         | desconocido    
fum                            | desconocido    
funn                           | desconocido    
gabb                           | desconocido    
gan                            | desconocido    
gig                            | desconocido    
gil                            | desconocido    
ginir                          | desconocido    
gir                            | desconocido    
giur                           | desconocido    
giu                            | desconocido    
giuv                           | desconocido    
guast                          | desconocido    
guid                           | desconocido    
gust                           | desconocido    
guvirn                         | desconocido    
incir                          | desconocido    
intuzz                         | desconocido    
iter                           | desconocido    
itt                            | desconocido    
lacrim                         | desconocido    
lamp                           | desconocido    
lanz                           | desconocido    
laque                          | desconocido    
lass                           | desconocido    
lav                            | desconocido    
libbir                         | desconocido    
libir                          | desconocido    
lim                            | desconocido    
limusin                        | desconocido    
lit                            | desconocido    
livant                         | desconocido    
liv                            | desconocido    
lividd                         | desconocido    
lucid                          | desconocido    
mais                           | desconocido    
malign                         | desconocido    
maltratt                       | desconocido    
maramm                         | desconocido    
marit                          | desconocido    
martirizz                      | desconocido    
mattum                         | desconocido    
matur                          | desconocido    
mbaitt                         | desconocido    
mbarbul                        | desconocido    
mbarg                          | desconocido    
mbaz                           | desconocido    
mbidd                          | desconocido    
mbitt                          | desconocido    
mbrudd                         | desconocido    
mbrusciun                      | desconocido    
mburrun                        | desconocido    
mbusun                         | desconocido    
mbuttum                        | desconocido    
mbuttun                        | desconocido    
mbuzz                          | desconocido    
migr                           | desconocido    
minn                           | desconocido    
mmaggin                        | desconocido    
mmidd                          | desconocido    
mmillitt                       | desconocido    
mmrign                         | desconocido    
mmus                           | desconocido    
mmust                          | desconocido    
mmutt                          | desconocido    
moralizz                       | desconocido    
mpampan                        | desconocido    
mpannidd                       | desconocido    
mpaparin                       | desconocido    
mpar                           | desconocido    
mpaschir                       | desconocido    
mpast                          | desconocido    
mpastur                        | desconocido    
mpavigghiun                    | desconocido    
mpidd                          | desconocido    
mpidicudd                      | desconocido    
mpipiridd                      | desconocido    
mpirr                          | desconocido    
mpitt                          | desconocido    
mpizz                          | desconocido    
mpress                         | desconocido    
mprint                         | desconocido    
mprisutt                       | desconocido    
mprumun                        | desconocido    
mprun                          | desconocido    
mpruvvis                       | desconocido    
mpulign                        | desconocido    
mpulis                         | desconocido    
mpun                           | desconocido    
mpunzitt                       | desconocido    
mpurrazz                       | desconocido    
munn                           | desconocido    
murcill                        | desconocido    
murmur                         | desconocido    
mutil                          | desconocido    
nat                            | desconocido    
navig                          | desconocido    
ncaccam                        | desconocido    
ncadd                          | desconocido    
ncancidd                       | desconocido    
ncannaruzz                     | desconocido    
ncannizz                       | desconocido    
ncannul                        | desconocido    
ncantin                        | desconocido    
ncantun                        | desconocido    
ncapizz                        | desconocido    
ncappidd                       | desconocido    
ncarm                          | desconocido    
ncarpit                        | desconocido    
ncarusidd                      | desconocido    
ncass                          | desconocido    
ncastagn                       | desconocido    
ncazz                          | desconocido    
nchiafard                      | desconocido    
nchiapp                        | desconocido    
nchiarin                       | desconocido    
nchiarr                        | desconocido    
nchiucchiul                    | desconocido    
nciarr                         | desconocido    
ncicir                         | desconocido    
ncilinn                        | desconocido    
ncincinn                       | desconocido    
ncipudd                        | desconocido    
ncircidd                       | desconocido    
ncirr                          | desconocido    
nclin                          | desconocido    
ncripazz                       | desconocido    
ncrup                          | desconocido    
ncucul                         | desconocido    
ncuful                         | desconocido    
ncufurun                       | desconocido    
ncuit                          | desconocido    
ncun                           | desconocido    
ncunn                          | desconocido    
ncunnutt                       | desconocido    
ncurriv                        | desconocido    
ncustan                        | desconocido    
ncutuf                         | desconocido    
ncutugn                        | desconocido    
ndic                           | desconocido    
nfad                           | desconocido    
nfigghiul                      | desconocido    
nfilat                         | desconocido    
nfurr                          | desconocido    
nfut                           | desconocido    
ngadd                          | desconocido    
ngalimm                        | desconocido    
ngangitt                       | desconocido    
ngargiul                       | desconocido    
ngarrun                        | desconocido    
ngarz                          | desconocido    
ngarzidd                       | desconocido    
ngasp                          | desconocido    
ngassin                        | desconocido    
ngattun                        | desconocido    
ngazzar                        | desconocido    
ngran                          | desconocido    
ngrasciur                      | desconocido    
ngravatt                       | desconocido    
ngrugn                         | desconocido    
ngrugnun                       | desconocido    
nnamur                         | desconocido    
nnart                          | desconocido    
not                            | desconocido    
nquit                          | desconocido    
ntabban                        | desconocido    
ntam                           | desconocido    
ntammar                        | desconocido    
ntampan                        | desconocido    
ntapazz                        | desconocido    
ntaradd                        | desconocido    
ntartar                        | desconocido    
ntavidd                        | desconocido    
ntimpagn                       | desconocido    
ntinn                          | desconocido    
ntint                          | desconocido    
ntip                           | desconocido    
ntipudd                        | desconocido    
ntiress                        | desconocido    
ntirrur                        | desconocido    
ntraminz                       | desconocido    
ntrinz                         | desconocido    
ntruff                         | desconocido    
ntrumm                         | desconocido    
ntuff                          | desconocido    
ntunn                          | desconocido    
ntuzz                          | desconocido    
numin                          | desconocido    
nut                            | desconocido    
nvign                          | desconocido    
nvircign                       | desconocido    
nzavar                         | desconocido    
nzavurr                        | desconocido    
nzintin                        | desconocido    
nziv                           | desconocido    
nzosizz                        | desconocido    
nzullint                       | desconocido    
nzurfar                        | desconocido    
nzurt                          | desconocido    
opir                           | desconocido    
ordin                          | desconocido    
orient                         | desconocido    
palis                          | desconocido    
paraun                         | desconocido    
pard                           | desconocido    
pass                           | desconocido    
penz                           | desconocido    
pidamint                       | desconocido    
pidit                          | desconocido    
pinitr                         | desconocido    
pircant                        | desconocido    
pirdun                         | desconocido    
pirfizzion                     | desconocido    
pirimint                       | desconocido    
pis                            | desconocido    
pissin                         | desconocido    
pist                           | desconocido    
pitt                           | desconocido    
pricipit                       | desconocido    
prinut                         | desconocido    
pripar                         | desconocido    
prisent                        | desconocido    
prisint                        | desconocido    
priv                           | desconocido    
pruclam                        | desconocido    
prucur                         | desconocido    
prugitt                        | desconocido    
pruiett                        | desconocido    
pruspir                        | desconocido    
prutist                        | desconocido    
pudd                           | desconocido    
pupul                          | desconocido    
purg                           | desconocido    
pusint                         | desconocido    
pusit                          | desconocido    
put                            | desconocido    
puzz                           | desconocido    
quas                           | desconocido    
quatr                          | desconocido    
querenn                        | desconocido    
raccumann                      | desconocido    
raffridd                       | desconocido    
rapprisent                     | desconocido    
rapprisint                     | desconocido    
ras                            | desconocido    
rassign                        | desconocido    
ratt                           | desconocido    
rializz                        | desconocido    
riam                           | desconocido    
ricint                         | desconocido    
riciupp                        | desconocido    
ricunzign                      | desconocido    
ricupir                        | desconocido    
ricurd                         | desconocido    
ricustru                       | desconocido    
rif                            | desconocido    
rifil                          | desconocido    
rifurm                         | desconocido    
rign                           | desconocido    
rigul                          | desconocido    
rim                            | desconocido    
rimin                          | desconocido    
rimont                         | desconocido    
risarb                         | desconocido    
riscatt                        | desconocido    
risciacqu                      | desconocido    
riscial                        | desconocido    
ristruttur                     | desconocido    
ristupp                        | desconocido    
ristur                         | desconocido    
risult                         | desconocido    
risulv                         | desconocido    
risurt                         | desconocido    
ritir                          | desconocido    
rivil                          | desconocido    
rot                            | desconocido    
rubb                           | desconocido    
rutul                          | desconocido    
ruvin                          | desconocido    
ruzzul                         | desconocido    
sagn                           | desconocido    
salut                          | desconocido    
san                            | desconocido    
sazz                           | desconocido    
sbacant                        | desconocido    
sbagn                          | desconocido    
sball                          | desconocido    
sbamp                          | desconocido    
sbarazz                        | desconocido    
sbinn                          | desconocido    
sbit                           | desconocido    
sbrazz                         | desconocido    
sbriugn                        | desconocido    
sbrum                          | desconocido    
sbuttan                        | desconocido    
scamin                         | desconocido    
scancill                       | desconocido    
scann                          | desconocido    
scant                          | desconocido    
scanz                          | desconocido    
scapis                         | desconocido    
scapp                          | desconocido    
scapuzz                        | desconocido    
scart                          | desconocido    
scass                          | desconocido    
scatt                          | desconocido    
scav                           | desconocido    
scir                           | desconocido    
scrittur                       | desconocido    
scummin                        | desconocido    
scup                           | desconocido    
scus                           | desconocido    
scut                           | desconocido    
sdiciur                        | desconocido    
sdillabbr                      | desconocido    
sdurrubb                       | desconocido    
sfrutt                         | desconocido    
sfum                           | desconocido    
sgadd                          | desconocido    
sgaddin                        | desconocido    
sgarr                          | desconocido    
sgridd                         | desconocido    
signal                         | desconocido    
simin                          | desconocido    
sipar                          | desconocido    
situ                           | desconocido    
smamm                          | desconocido    
sparagn                        | desconocido    
spar                           | desconocido    
spicializz                     | desconocido    
spil                           | desconocido    
spinn                          | desconocido    
spirimint                      | desconocido    
spr                            | desconocido    
spunn                          | desconocido    
sput                           | desconocido    
squacin                        | desconocido    
starnut                        | desconocido    
stim                           | desconocido    
stipul                         | desconocido    
stir                           | desconocido    
strafurm                       | desconocido    
strapazz                       | desconocido    
strascin                       | desconocido    
stripp                         | desconocido    
stru                           | desconocido    
stupp                          | desconocido    
sud                            | desconocido    
supir                          | desconocido    
suprannumin                    | desconocido    
supranummin                    | desconocido    
surpass                        | desconocido    
sus                            | desconocido    
svacant                        | desconocido    
svamp                          | desconocido    
svillup                        | desconocido    
svilupp                        | desconocido    
svirgin                        | desconocido    
svisit                         | desconocido    
svit                           | desconocido    
tast                           | desconocido    
tatu                           | desconocido    
tilifun                        | desconocido    
tir                            | desconocido    
tiurizz                        | desconocido    
tramazz                        | desconocido    
tramm                          | desconocido    
tramunt                        | desconocido    
tramut                         | desconocido    
tranquillizz                   | desconocido    
trapan                         | desconocido    
trascin                        | desconocido    
trasfurm                       | desconocido    
trazz                          | desconocido    
truppidd                       | desconocido    
truv                           | desconocido    
truzz                          | desconocido    
tuff                           | desconocido    
turb                           | desconocido    
tus                            | desconocido    
ubbit                          | desconocido    
ultim                          | desconocido    
unt                            | desconocido    
upir                           | desconocido    
urn                            | desconocido    
urt                            | desconocido    
urz                            | desconocido    
uspit                          | desconocido    
utilizz                        | desconocido    
valurizz                       | desconocido    
vas                            | desconocido    
visit                          | desconocido    
vuggh                          | desconocido    
vumit                          | desconocido    
zapp                           | desconocido    
accìd                          | desconocido    
acògl                          | desconocido    
allìnch                        | desconocido    
arricùrr                       | desconocido    
catacògl                       | desconocido    
chiùmp                         | desconocido    
crìr                           | desconocido    
cuincìd                        | desconocido    
cummàt                         | desconocido    
cunnètt                        | desconocido    
càd                            | desconocido    
cèrn                           | desconocido    
cògl                           | desconocido    
cùs                            | desconocido    
distrùd                        | desconocido    
dùrm                           | desconocido    
esplòd                         | desconocido    
esìst                          | desconocido    
frì                            | desconocido    
fù                             | desconocido    
fùj                            | desconocido    
fùtt                           | desconocido    
lèd                            | desconocido    
mmèst                          | desconocido    
mèt                            | desconocido    
mìs                            | desconocido    
mùr                            | desconocido    
ntràs                          | desconocido    
nzìst                          | desconocido    
occùrr                         | desconocido    
pirmìtt                        | desconocido    
prumìtt                        | desconocido    
proj                           | desconocido    
prùd                           | desconocido    
pàrt                           | desconocido    
ricìv                          | desconocido    
ricògl                         | desconocido    
rifìr                          | desconocido    
ripàrt                         | desconocido    
risìst                         | desconocido    
risòlv                         | desconocido    
ràd                            | desconocido    
ràs                            | desconocido    
rùd                            | desconocido    
rùmp                           | desconocido    
sbàtt                          | desconocido    
sbùrd                          | desconocido    
sbùrg                          | desconocido    
scògl                          | desconocido    
scùrr                          | desconocido    
sfùtt                          | desconocido    
sprèm                          | desconocido    
spàrt                          | desconocido    
surrìd                         | desconocido    
sèd                            | desconocido    
trasmìtt                       | desconocido    
tràmit                         | desconocido    
tràs                           | desconocido    
uccìd                          | desconocido    
uccùrr                         | desconocido    
ìnc                            | desconocido    
ìnn                            | desconocido    
ùrd                            | desconocido    
сhiùmp                         | desconocido    
cunnùc                         | desconocido    
fìnc                           | desconocido    
fùgg                           | desconocido    
prutègg                        | desconocido    
tac                            | desconocido    
nàsc                           | desconocido    
tòrc                           | desconocido    
pàsc                           | desconocido    
tìnc                           | desconocido    
mpìnc                          | desconocido    
iràsc                          | desconocido    
arridùc                        | desconocido    
piàc                           | desconocido    
riprudùc                       | desconocido    
ngùsc                          | desconocido    
prànc                          | desconocido    
dùc                            | desconocido    
sàrc                           | desconocido    
mùnc                           | desconocido    
scrùsc                         | desconocido    
custrìnc                       | desconocido    
lìgg                           | desconocido    
tacch                          | desconocido    
cun                            | desconocido    
còc                            | desconocido    
crìsc                          | desconocido    
dul                            | desconocido    
suffr                          | desconocido    
acit                           | desconocido    
mitt                           | desconocido    
vist                           | desconocido    
pricèd                         | desconocido    
succèd                         | desconocido    
cèd                            | desconocido    
procèd                         | desconocido    
ricèv                          | desconocido    
dòrm                           | desconocido    
vèst                           | desconocido    
percèp                         | desconocido    
arriscèd                       | desconocido    
cuncèd                         | desconocido    
mòv                            | desconocido    
òffr                           | desconocido    
divèrt                         | desconocido    
difenn                         | desconocido    
bram                           | desconocido    
baratt                         | desconocido    
barcull                        | desconocido    
bast                           | desconocido    
battizz                        | desconocido    
battuggh                       | desconocido    
becc                           | desconocido    
bestam                         | desconocido    
bestem                         | desconocido    
binidic                        | desconocido    
biv                            | desconocido    
bummard                        | desconocido    
chiachiar                      | desconocido    
chiarific                      | desconocido    
chiud                          | desconocido    
cravacc                        | desconocido    
crid                           | desconocido    
crisc                          | desconocido    
crocifigg                      | desconocido    
croll                          | desconocido    
caccij                         | desconocido    
cad                            | desconocido    
caggiun                        | desconocido    
canusc                         | desconocido    
canzun                         | desconocido    
capit                          | desconocido    
capuvolg                       | desconocido    
caratterizz                    | desconocido    
carcul                         | desconocido    
caric                          | desconocido    
carmin                         | desconocido    
carvacc                        | desconocido    
carzar                         | desconocido    
cast                           | desconocido    
castig                         | desconocido    
catam                          | desconocido    
cav                            | desconocido    
cavarc                         | desconocido    
cazz                           | desconocido    
ced                            | desconocido    
celebbr                        | desconocido    
celebr                         | desconocido    
cen                            | desconocido    
cern                           | desconocido    
ciacc                          | desconocido    
ciar                           | desconocido    
cinc                           | desconocido    
circund                        | desconocido    
circunn                        | desconocido    
ciss                           | desconocido    
ciuciul                        | desconocido    
coagul                         | desconocido    
coc                            | desconocido    
colloc                         | desconocido    
colonizz                       | desconocido    
coltiv                         | desconocido    
comment                        | desconocido    
compar                         | desconocido    
complet                        | desconocido    
compliment                     | desconocido    
comput                         | desconocido    
concern                        | desconocido    
cond                           | desconocido    
confer                         | desconocido    
congel                         | desconocido    
connett                        | desconocido    
conquist                       | desconocido    
consciu                        | desconocido    
consegu                        | desconocido    
consult                        | desconocido    
consum                         | desconocido    
contamin                       | desconocido    
contrabbann                    | desconocido    
contratt                       | desconocido    
controll                       | desconocido    
corrispunn                     | desconocido    
costru                         | desconocido    
cuced                          | desconocido    
cuciur                         | desconocido    
cugghiun                       | desconocido    
culp                           | desconocido    
cummett                        | desconocido    
cummirc                        | desconocido    
cummov                         | desconocido    
cumpat                         | desconocido    
cumpet                         | desconocido    
cumpiac                        | desconocido    
cumpil                         | desconocido    
cumpins                        | desconocido    
cumplit                        | desconocido    
cumplut                        | desconocido    
cumprenn                       | desconocido    
cumprummett                    | desconocido    
cunced                         | desconocido    
cuncurr                        | desconocido    
cundun                         | desconocido    
cunfirm                        | desconocido    
cunfisc                        | desconocido    
cunfrunt                       | desconocido    
cunnuc                         | desconocido    
cunsidir                       | desconocido    
cunsint                        | desconocido    
cunten                         | desconocido    
cuntra                         | desconocido    
cuntradic                      | desconocido    
cuntraf                        | desconocido    
cunvinc                        | desconocido    
cunvirt                        | desconocido    
curr                           | desconocido    
curregg                        | desconocido    
currump                        | desconocido    
cus                            | desconocido    
custod                         | desconocido    
custrinc                       | desconocido    
decid                          | desconocido    
decor                          | desconocido    
dedic                          | desconocido    
deduc                          | desconocido    
defin                          | desconocido    
delibber                       | desconocido    
deliz                          | desconocido    
demol                          | desconocido    
denot                          | desconocido    
deper                          | desconocido    
depon                          | desconocido    
deposit                        | desconocido    
derid                          | desconocido    
desider                        | desconocido    
dest                           | desconocido    
destin                         | desconocido    
determin                       | desconocido    
detest                         | desconocido    
detra                          | desconocido    
dibbat                         | desconocido    
dicchiar                       | desconocido    
differ                         | desconocido    
diffid                         | desconocido    
dilu                           | desconocido    
dimagr                         | desconocido    
dimentic                       | desconocido    
dimezz                         | desconocido    
dipenn                         | desconocido    
dirig                          | desconocido    
dirutt                         | desconocido    
discurr                        | desconocido    
discut                         | desconocido    
disd                           | desconocido    
disiddir                       | desconocido    
disign                         | desconocido    
disimpar                       | desconocido    
dispens                        | desconocido    
dispir                         | desconocido    
disput                         | desconocido    
dissimul                       | desconocido    
dissuad                        | desconocido    
distenn                        | desconocido    
distrud                        | desconocido    
disturn                        | desconocido    
ditribbu                       | desconocido    
ditribu                        | desconocido    
ditt                           | desconocido    
diversific                     | desconocido    
divert                         | desconocido    
divurz                         | desconocido    
dol                            | desconocido    
domin                          | desconocido    
don                            | desconocido    
dorm                           | desconocido    
durm                           | desconocido    
flu                            | desconocido    
fracass                        | desconocido    
frantum                        | desconocido    
frascul                        | desconocido    
frattur                        | desconocido    
fren                           | desconocido    
frequent                       | desconocido    
fri                            | desconocido    
frizion                        | desconocido    
fruttific                      | desconocido    
fabric                         | desconocido    
falsific                       | desconocido    
fasc                           | desconocido    
fascin                         | desconocido    
ferm                           | desconocido    
ferment                        | desconocido    
film                           | desconocido    
filtr                          | desconocido    
filï                           | desconocido    
finc                           | desconocido    
firr                           | desconocido    
fogg                           | desconocido    
foment                         | desconocido    
formul                         | desconocido    
fortific                       | desconocido    
fotocop                        | desconocido    
fotograf                       | desconocido    
fucin                          | desconocido    
ggir                           | desconocido    
ghis                           | desconocido    
gradu                          | desconocido    
grav                           | desconocido    
grugn                          | desconocido    
garegg                         | desconocido    
gargarizz                      | desconocido    
gattï                          | desconocido    
gel                            | desconocido    
gem                            | desconocido    
gener                          | desconocido    
gest                           | desconocido    
giruvag                        | desconocido    
giuar                          | desconocido    
god                            | desconocido    
govern                         | desconocido    
guad                           | desconocido    
guar                           | desconocido    
guard                          | desconocido    
gucciul                        | desconocido    
guir                           | desconocido    
gunc                           | desconocido    
jic                            | desconocido    
jinch                          | desconocido    
lacer                          | desconocido    
las                            | desconocido    
lastric                        | desconocido    
legg                           | desconocido    
libber                         | desconocido    
liber                          | desconocido    
lod                            | desconocido    
lubric                         | desconocido    
lud                            | desconocido    
mbrast                         | desconocido    
mbizz                          | desconocido    
md                             | desconocido    
mmarc                          | desconocido    
mmurd                          | desconocido    
mpinc                          | desconocido    
malidic                        | desconocido    
malipat                        | desconocido    
manifest                       | desconocido    
manigg                         | desconocido    
manipul                        | desconocido    
medit                          | desconocido    
menziun                        | desconocido    
merit                          | desconocido    
met                            | desconocido    
mett                           | desconocido    
minnic                         | desconocido    
mirc                           | desconocido    
mircant                        | desconocido    
miscul                         | desconocido    
modell                         | desconocido    
modific                        | desconocido    
mor                            | desconocido    
mugg                           | desconocido    
multiplic                      | desconocido    
mun                            | desconocido    
munc                           | desconocido    
munt                           | desconocido    
mur                            | desconocido    
nchiud                         | desconocido    
ncinnir                        | desconocido    
ncinz                          | desconocido    
ncurun                         | desconocido    
ndu                            | desconocido    
nduv                           | desconocido    
nsicch                         | desconocido    
ntrippit                       | desconocido    
ntenn                          | desconocido    
nviit                          | desconocido    
nzaj                           | desconocido    
narr                           | desconocido    
nasc                           | desconocido    
nascunn                        | desconocido    
nazzionalizz                   | desconocido    
neg                            | desconocido    
negligg                        | desconocido    
negozz                         | desconocido    
nesc                           | desconocido    
nivic                          | desconocido    
nomin                          | desconocido    
notific                        | desconocido    
nutr                           | desconocido    
nutric                         | desconocido    
plac                           | desconocido    
plasm                          | desconocido    
pligg                          | desconocido    
prgred                         | desconocido    
prac                           | desconocido    
pranz                          | desconocido    
preced                         | desconocido    
pred                           | desconocido    
prediligg                      | desconocido    
prenut                         | desconocido    
presagg                        | desconocido    
presum                         | desconocido    
previd                         | desconocido    
prigg                          | desconocido    
primett                        | desconocido    
privid                         | desconocido    
prizz                          | desconocido    
pro                            | desconocido    
proced                         | desconocido    
proclam                        | desconocido    
procur                         | desconocido    
profitt                        | desconocido    
progett                        | desconocido    
proggett                       | desconocido    
progred                        | desconocido    
proibb                         | desconocido    
promov                         | desconocido    
pronunz                        | desconocido    
propon                         | desconocido    
prorog                         | desconocido    
protegg                        | desconocido    
protest                        | desconocido    
proven                         | desconocido    
prud                           | desconocido    
pruvid                         | desconocido    
psc                            | desconocido    
palp                           | desconocido    
panizz                         | desconocido    
paralizz                       | desconocido    
part                           | desconocido    
pasc                           | desconocido    
pascul                         | desconocido    
patt                           | desconocido    
pattin                         | desconocido    
pav                            | desconocido    
paviment                       | desconocido    
penetr                         | desconocido    
penn                           | desconocido    
percep                         | desconocido    
percot                         | desconocido    
perfor                         | desconocido    
peror                          | desconocido    
perquis                        | desconocido    
persegu                        | desconocido    
persist                        | desconocido    
pettin                         | desconocido    
pieg                           | desconocido    
pignur                         | desconocido    
pigul                          | desconocido    
pinc                           | desconocido    
pins                           | desconocido    
piricul                        | desconocido    
pirnutt                        | desconocido    
pon                            | desconocido    
porg                           | desconocido    
pospon                         | desconocido    
possed                         | desconocido    
puls                           | desconocido    
pump                           | desconocido    
pun                            | desconocido    
punc                           | desconocido    
punt                           | desconocido    
purific                        | desconocido    
pustigg                        | desconocido    
quard                          | desconocido    
rabbrivid                      | desconocido    
raccunt                        | desconocido    
racumann                       | desconocido    
racunt                         | desconocido    
radiugraf                      | desconocido    
radun                          | desconocido    
raffigur                       | desconocido    
ragghinc                       | desconocido    
ragghiunc                      | desconocido    
ragiun                         | desconocido    
ralligr                        | desconocido    
rammint                        | desconocido    
rassicur                       | desconocido    
rassimiggh                     | desconocido    
realizz                        | desconocido    
reclam                         | desconocido    
redim                          | desconocido    
refer                          | desconocido    
reggistr                       | desconocido    
regn                           | desconocido    
regul                          | desconocido    
renn                           | desconocido    
reprim                         | desconocido    
resist                         | desconocido    
resolv                         | desconocido    
respinc                        | desconocido    
respir                         | desconocido    
restitu                        | desconocido    
revoc                          | desconocido    
riaccuminz                     | desconocido    
riassum                        | desconocido    
ribbumm                        | desconocido    
ricanusc                       | desconocido    
ricapit                        | desconocido    
ricapitul                      | desconocido    
ricarric                       | desconocido    
ricatt                         | desconocido    
ricch                          | desconocido    
richiam                        | desconocido    
richiud                        | desconocido    
ricicl                         | desconocido    
riciv                          | desconocido    
ricuncil                       | desconocido    
ricunt                         | desconocido    
ricupr                         | desconocido    
ricurr                         | desconocido    
ricus                          | desconocido    
rid                            | desconocido    
ridacch                        | desconocido    
riddiculizz                    | desconocido    
ridigg                         | desconocido    
riduc                          | desconocido    
